City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,sitka,57.0531,-135.33,1.94,93,100,1.54,US,1679758576
180,kirksville,40.1948,-92.5833,6.01,88,40,4.12,US,1679758576
181,sao joao da barra,-21.6403,-41.0511,32.05,67,1,3.46,BR,1679758576
182,taywarah,33.35,64.4167,4.17,79,94,1.87,AF,1679758576
183,areia branca,-4.9561,-37.1369,32.11,65,62,5.78,BR,1679758576
184,hithadhoo,-0.6,73.0833,27.76,77,19,3.34,MV,1679758577
185,gushikawa,26.3544,127.8686,18.77,94,100,0.0,JP,1679758577
186,auki,-8.7676,160.7034,24.94,81,100,0.72,SB,1679758577
187,ahipara,-35.1667,173.1667,14.13,87,11,1.63,NZ,1679758577
188,yarmouth,41.7057,-70.2286,6.16,72,75,3.6,US,1679758577
189,takoradi,4.8845,-1.7554,29.27,67,100,3.72,GH,1679758577
190,kendari,-3.945,122.4989,24.78,93,72,0.91,ID,1679758577
191,xining,36.6167,101.7667,3.01,54,78,4.48,CN,1679758578
192,roald,62.5833,6.1333,3.51,44,0,9.77,NO,1679758578
193,kuybysheve,47.358,36.6491,9.71,80,100,4.37,UA,1679758578
194,urusha,54.05,122.9,-13.31,97,41,0.91,RU,1679758578
195,codrington,-38.2667,141.9667,11.61,81,100,2.48,AU,1679758578
196,ostrovnoy,68.0531,39.5131,-5.57,69,100,5.66,RU,1679758578
197,srednekolymsk,67.45,153.6833,-34.33,100,82,2.03,RU,1679758579
198,clyde river,70.4692,-68.5914,-26.87,76,100,0.0,CA,1679758579
199,tonota,-21.4833,27.4833,28.01,33,83,4.16,BW,1679758579
200,ganzhou,28.8184,115.4327,8.59,89,90,0.53,CN,1679758568
201,gao,16.6362,1.637,36.61,6,1,3.28,ML,1679758579
202,normandin,48.8333,-72.5321,-7.83,67,91,0.51,CA,1679758579
203,lazaro cardenas,17.9583,-102.2,26.86,63,54,2.07,MX,1679758580
204,tianpeng,30.9866,103.9393,11.26,79,32,0.57,CN,1679758580
205,tuktoyaktuk,69.4541,-133.0374,-14.0,85,75,4.63,CA,1679758580
206,esperance,-33.8667,121.9,18.9,92,98,6.09,AU,1679758580
207,haguenau,48.8156,7.7905,15.05,69,60,7.48,FR,1679758355
208,ulladulla,-35.35,150.4667,17.65,90,72,1.32,AU,1679758580
209,cape town,-33.9258,18.4232,20.62,92,75,6.69,ZA,1679758438
210,abengourou,6.7297,-3.4964,31.08,51,100,2.33,CI,1679758580
211,fort-shevchenko,44.5086,50.263,10.89,63,87,3.72,KZ,1679758580
212,kedrovyy,56.1667,91.8167,3.26,79,100,5.32,RU,1679758581
213,adzope,6.1069,-3.8619,33.75,42,100,1.46,CI,1679758581
214,namibe,-15.1961,12.1522,25.25,70,100,5.87,AO,1679758581
215,koudougou,12.25,-2.3667,37.85,6,47,1.28,BF,1679758581
216,asau,46.4333,26.4,16.51,66,95,7.31,RO,1679758581
217,anadyr,64.75,177.4833,-0.72,100,100,15.65,RU,1679758581
218,komsomolskiy,40.4272,71.7189,15.4,47,5,2.06,UZ,1679758581
219,araceli,10.5529,119.9913,27.21,85,59,4.72,PH,1679758582
220,broome,42.2506,-75.833,3.81,91,100,11.32,US,1679758582
221,new london,41.4834,-72.0662,6.18,81,100,2.68,US,1679758582
222,gigmoto,13.7796,124.39,25.77,88,25,3.3,PH,1679758582
223,matamoros,25.5333,-103.25,18.06,9,20,0.0,MX,1679758582
